,title,content
0,软件开发工程师,熟练掌握C
1,运维开发工程师,熟悉Linux操作系统的使用/熟悉docker/熟悉Mysql/熟悉TCP/掌握golang/熟悉服务器
2,图像算法工程师,熟悉C/精通python/熟悉深度学习框架
3,ERP工程师,熟练使用windows等操作系统
4,软件开发工程师,熟悉JAVA
5,嵌入式软件工程师,熟练使用C语言编程/熟悉TCP/熟悉STM32/熟悉嵌入式开发流程/熟悉UART/熟悉模拟电路
6,机器视觉工程师,精通c++
7,iOS开发工程师,熟悉常用的数据结构和算法/熟练掌握Objective-C/熟悉Swift/熟悉RN
8,PHP程序开发工程师,熟练使用PHP
9,Web前端开发工程师,熟悉前端工程化/熟练微信和小程序开发/熟悉浏览器渲染原理
10,系统运维工程师,熟悉Linux系统/了解自动化运维和监控工具/掌握一门脚本语言/熟悉Nginx/了解KVM虚拟化技术
11,存储管理系统开发工程师,精通python或go/熟练使用python/熟练使用git/熟悉计算机原理/掌握常用的数据结构和算法等基础知识/熟练使用shell等工具
12,Web前端开发工程师,掌握W3C标准/熟练运用HTML/掌握React/掌握其原理
13,GNSS工程师,熟悉GNSS卫星定位原理/掌握GNSS接收机使用以及数据处理/熟练使用各种GNSS测试工具/熟悉GNSS相关行业背景/熟悉市场主流GNSS芯片平台/熟悉C语言及常用调试方法/熟练阅读及书写英文
14,Android开发工程师,掌握新技术/熟悉android开发/熟悉java开发语言/熟练使用/熟悉socket网络编程/熟悉TCP
15,实施工程师,了解制造业生产制造流程
16,Java开发工程师,熟悉主流开源应用框架/熟悉关系型数据库MySQL/熟悉Memcached/熟悉分布式系统的设计和应用/熟悉分布式
17,Java开发工程师,熟悉Java语言/熟悉微信公众号/熟悉ORACLE数据库/熟悉linux操作
18,前端开发工程师,熟悉软件工程思想/熟悉webpack/熟练使用/熟悉HTTP协议/熟悉浏览器兼容性/熟悉NodeJS/熟悉Git/了解微信小程序开发
19,图像算法工程师,熟悉常用数字图像处理算法/熟练使用OpenCV/精通C/熟悉MATLAB
20,自然语言处理工程师,精通一种编程语言/熟悉Linux/熟练使用python或perl语言/了解深度学习
21,C#软件工程师,精通C#语言
22,UI设计师,了解用户/精通Sketch
23,嵌入式软件开发工程师,熟悉C语言编程/熟悉ARM体系结构/熟悉Linux环境/熟悉ONVIF
24,后端架构师,熟悉阿里云/熟悉docker容器化
25,数据库工程师,了解源数据的数据质量/精通SQL
26,小程序开发工程师,熟练使用主流流行前端组件和框架/精通Java后台语言/熟悉MYSQL数据库/精通使用javascript
27,Java开发工程师,熟练使用java开发语言/熟悉j2ee开发体系/掌握mvc设计模式/熟悉Spring/熟悉关系型数据库/熟练使用Tomcat/熟练使用前端框架/熟悉linux系统/掌握基本的命令
28,上位机软件工程师,熟悉C#语言
