title,content
软件开发工程师,熟练掌握C
运维开发工程师,熟悉Linux操作系统的使用
运维开发工程师,熟悉docker
运维开发工程师,熟悉Mysql
运维开发工程师,熟悉TCP
运维开发工程师,熟练掌握golang
运维开发工程师,熟悉服务器
图像算法工程师,熟悉C
图像算法工程师,精通python
图像算法工程师,熟悉深度学习框架
ERP工程师,熟练掌握使用windows等操作系统
软件开发工程师,熟悉JAVA
嵌入式软件工程师,熟练掌握使用C语言编程
嵌入式软件工程师,熟悉TCP
嵌入式软件工程师,熟悉STM32
嵌入式软件工程师,熟悉嵌入式开发流程
嵌入式软件工程师,熟悉UART
嵌入式软件工程师,熟悉模拟电路
机器视觉工程师,精通c++
iOS开发工程师,熟悉常用的数据结构和算法
iOS开发工程师,熟练掌握Objective-C
iOS开发工程师,熟悉Swift
iOS开发工程师,熟悉RN
PHP程序开发工程师,熟练掌握使用PHP
Web前端开发工程师,熟悉前端工程化
Web前端开发工程师,熟练掌握微信和小程序开发
Web前端开发工程师,熟悉浏览器渲染原理
系统运维工程师,熟悉Linux系统
系统运维工程师,了解自动化运维和监控工具
系统运维工程师,熟练掌握一门脚本语言
系统运维工程师,熟悉Nginx
系统运维工程师,了解KVM虚拟化技术
存储管理系统开发工程师,精通python或go
存储管理系统开发工程师,熟练掌握使用python
存储管理系统开发工程师,熟练掌握使用git
存储管理系统开发工程师,熟悉计算机原理
存储管理系统开发工程师,熟练掌握常用的数据结构和算法等基础知识
存储管理系统开发工程师,熟练掌握使用shell等工具
Web前端开发工程师,熟练掌握W3C标准
Web前端开发工程师,熟练掌握运用HTML
Web前端开发工程师,熟练掌握React
Web前端开发工程师,熟练掌握其原理
GNSS工程师,熟悉GNSS卫星定位原理
GNSS工程师,熟练掌握GNSS接收机使用以及数据处理
GNSS工程师,熟练掌握使用各种GNSS测试工具
GNSS工程师,熟悉GNSS相关行业背景
GNSS工程师,熟悉市场主流GNSS芯片平台
GNSS工程师,熟悉C语言及常用调试方法
GNSS工程师,熟练掌握阅读及书写英文
Android开发工程师,熟练掌握新技术
Android开发工程师,熟悉android开发
Android开发工程师,熟悉java开发语言
Android开发工程师,熟练掌握使用
Android开发工程师,熟悉socket网络编程
Android开发工程师,熟悉TCP
实施工程师,了解制造业生产制造流程
Java开发工程师,熟悉主流开源应用框架
Java开发工程师,熟悉关系型数据库MySQL
Java开发工程师,熟悉Memcached
Java开发工程师,熟悉分布式系统的设计和应用
Java开发工程师,熟悉分布式
Java开发工程师,熟悉Java语言
Java开发工程师,熟悉微信公众号
Java开发工程师,熟悉ORACLE数据库
Java开发工程师,熟悉linux操作
前端开发工程师,熟悉软件工程思想
前端开发工程师,熟悉webpack
前端开发工程师,熟练掌握使用
前端开发工程师,熟悉HTTP协议
前端开发工程师,熟悉浏览器兼容性
前端开发工程师,熟悉NodeJS
前端开发工程师,熟悉Git
前端开发工程师,了解微信小程序开发
图像算法工程师,熟悉常用数字图像处理算法
图像算法工程师,熟练掌握使用OpenCV
图像算法工程师,精通C
图像算法工程师,熟悉MATLAB
自然语言处理工程师,精通一种编程语言
自然语言处理工程师,熟悉Linux
自然语言处理工程师,熟练掌握使用python或perl语言
自然语言处理工程师,了解深度学习
C#软件工程师,精通C#语言
UI设计师,了解用户
UI设计师,精通Sketch
嵌入式软件开发工程师,熟悉C语言编程
